Cod_setor,V062,V063,V064,V065,V066,V067,V068,V069,V070,V071,V072,V073,V074,V075,V076,V077,V078,V079,V080,V081,V082,V083,V084,V085,V086,V087,V088,V089,V090,V091,V092,V093,V094,V095,V096,V097,V098,V099,resp_homem,resp_mulher,prop_res_mulher,prop_res_homem
250750705000414,33,41,32,19,9,4,19,3,0,0,0,0,0,30,16,5,4,0,0,36,43,43,12,11,8,9,23,11,7,0,0,0,13,7,4,0,0,0,215,227,0.5135746606334841,0.48642533936651583
250750705000415,36,30,34,20,6,3,23,5,0,0,0,0,0,31,12,8,1,0,0,20,12,13,15,2,1,14,11,4,3,2,0,0,9,3,1,1,0,0,209,111,0.346875,0.653125
250750705000416,35,38,35,23,6,4,37,3,0,0,0,0,0,32,20,7,2,0,0,25,27,27,13,7,7,31,16,9,5,2,1,0,9,3,0,1,0,0,242,183,0.43058823529411766,0.5694117647058824
250750705000417,23,42,42,25,5,5,13,4,0,1,0,0,0,19,21,6,3,2,0,20,22,22,11,10,8,7,13,6,7,0,0,0,7,1,1,0,0,0,211,135,0.3901734104046243,0.6098265895953757
250750705000418,27,29,40,24,5,5,9,2,2,0,0,0,0,25,13,8,1,0,0,10,14,14,9,5,4,4,5,2,2,0,0,0,5,2,0,0,0,0,190,76,0.2857142857142857,0.7142857142857143
250750705000419,25,32,22,7,0,0,17,2,0,0,0,0,0,23,17,8,0,0,0,42,24,10,3,0,0,25,28,7,1,0,0,0,14,9,0,1,0,0,153,164,0.5173501577287066,0.48264984227129337
250750705000420,38,53,62,32,14,7,7,3,0,1,0,0,0,35,17,13,6,2,1,36,35,23,20,9,14,5,21,14,4,1,0,0,15,3,1,1,1,0,291,203,0.4109311740890688,0.5890688259109311
250750705000421,1,0,4,1,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,10,3,0.23076923076923078,0.7692307692307693
250750705000422,54,57,54,38,17,16,18,4,0,0,0,0,0,50,27,7,6,1,0,22,15,23,11,3,10,18,12,4,5,0,0,0,10,3,2,0,0,0,349,138,0.28336755646817247,0.7166324435318275
250750705000423,56,83,57,40,24,6,23,1,2,0,0,0,0,55,35,12,6,2,0,21,28,17,7,5,4,10,11,8,2,0,0,0,10,10,2,0,0,0,402,135,0.25139664804469275,0.7486033519553073
250750705000425,33,42,37,17,9,7,8,1,1,0,0,0,0,32,21,7,3,2,0,28,16,18,8,7,1,6,18,2,1,0,0,0,10,1,2,0,0,0,220,118,0.34911242603550297,0.650887573964497
250750705000426,7,3,10,4,2,0,10,1,0,0,0,0,0,6,1,2,0,0,0,25,28,28,19,6,11,11,21,16,3,2,0,0,4,2,2,0,0,0,46,178,0.7946428571428571,0.20535714285714285
250750705000427,9,6,6,0,1,1,6,1,1,0,0,0,0,8,2,0,0,0,0,8,15,24,9,6,3,3,6,10,6,1,0,0,2,1,0,0,0,1,41,95,0.6985294117647058,0.3014705882352941
250750705000428,45,61,69,33,7,8,14,0,0,0,0,0,0,45,30,16,1,1,0,30,35,21,11,3,6,15,26,10,3,1,0,0,4,7,1,0,0,0,330,173,0.34393638170974156,0.6560636182902585
250750705000429,15,19,21,10,3,5,18,3,1,0,0,0,0,12,8,3,0,0,0,21,28,50,19,8,6,12,14,9,8,0,1,0,7,2,0,0,0,0,118,185,0.6105610561056105,0.38943894389438943
250750705000430,20,48,54,26,11,5,9,0,0,0,0,0,0,20,24,14,6,1,0,23,19,30,16,9,12,12,11,5,1,0,0,0,12,3,2,0,1,0,238,156,0.39593908629441626,0.6040609137055838
