Cod_setor,Cod_Grandes Regiões,Nome_Grande_Regiao,Cod_UF,Nome_da_UF,Cod_meso,Nome_da_meso,Cod_micro,Nome_da_micro,Cod_RM,Nome_da_RM,Cod_municipio,Nome_do_municipio,Cod_distrito,Nome_do_distrito,Cod_subdistrito,Nome_do_subdistrito,Cod_bairro,Nome_do_bairro,Situacao_setor,Tipo_setor,V001,V002,V003,V004,V005,V006,V007,V008,V009,V010,V011,V012
120040105000085,1,Região Norte,12,Acre,1202,Vale do Acre,12004,Rio Branco,00,Municípios não pertencentes a estrutura de RM,1200401,RIO BRANCO,120040105,RIO BRANCO,12004010500,RIO BRANCO,1200401000,RIO BRANCO (todos os setores),1,0,428,1411,3.3,2.31,2328.73,13418109.6,2373.09,13568788.83,1264.9,6857624.61,1951.22,9242489.17
120040105000086,1,Região Norte,12,Acre,1202,Vale do Acre,12004,Rio Branco,00,Municípios não pertencentes a estrutura de RM,1200401,RIO BRANCO,120040105,RIO BRANCO,12004010500,RIO BRANCO,1200401000,RIO BRANCO (todos os setores),1,0,342,1233,3.61,2.7,4028.65,11277190.56,4088.42,11199904.48,2130.38,8295772.72,3117.14,9063406.3
120040105000087,1,Região Norte,12,Acre,1202,Vale do Acre,12004,Rio Branco,00,Municípios não pertencentes a estrutura de RM,1200401,RIO BRANCO,120040105,RIO BRANCO,12004010500,RIO BRANCO,1200401000,RIO BRANCO (todos os setores),1,0,305,1146,3.76,3.32,401.51,484636.58,805.66,647929.46,336.04,332200.76,756.29,430066.64
120040105000088,1,Região Norte,12,Acre,1202,Vale do Acre,12004,Rio Branco,00,Municípios não pertencentes a estrutura de RM,1200401,RIO BRANCO,120040105,RIO BRANCO,12004010500,RIO BRANCO,1200401000,RIO BRANCO (todos os setores),1,0,257,999,3.89,3.51,559.75,402687.73,694.96,406009.36,318.43,269521.65,600.8,339037.05
120040105000089,1,Região Norte,12,Acre,1202,Vale do Acre,12004,Rio Branco,00,Municípios não pertencentes a estrutura de RM,1200401,RIO BRANCO,120040105,RIO BRANCO,12004010500,RIO BRANCO,1200401000,RIO BRANCO (todos os setores),1,0,379,1284,3.39,2.87,764.97,487525.23,816.68,478222.97,438.52,336127.82,686.21,356045.29
120040105000090,1,Região Norte,12,Acre,1202,Vale do Acre,12004,Rio Branco,00,Municípios não pertencentes a estrutura de RM,1200401,RIO BRANCO,120040105,RIO BRANCO,12004010500,RIO BRANCO,1200401000,RIO BRANCO (todos os setores),1,0,259,960,3.71,3.82,625.97,570819.6,790.86,590873.84,418.95,338438.1,681.84,371628.79
120040105000091,1,Região Norte,12,Acre,1202,Vale do Acre,12004,Rio Branco,00,Municípios não pertencentes a estrutura de RM,1200401,RIO BRANCO,120040105,RIO BRANCO,12004010500,RIO BRANCO,1200401000,RIO BRANCO (todos os setores),1,0,235,849,3.61,3.55,711.81,441588.11,808.1,423425.44,388.5,304940.41,754.6,316073.21
120040105000092,1,Região Norte,12,Acre,1202,Vale do Acre,12004,Rio Branco,00,Municípios não pertencentes a estrutura de RM,1200401,RIO BRANCO,120040105,RIO BRANCO,12004010500,RIO BRANCO,1200401000,RIO BRANCO (todos os setores),1,1,192,758,3.95,3.02,523.86,147659.39,605.91,120910.58,276.71,129479.21,558.07,104031.23
120040105000093,1,Região Norte,12,Acre,1202,Vale do Acre,12004,Rio Branco,00,Municípios não pertencentes a estrutura de RM,1200401,RIO BRANCO,120040105,RIO BRANCO,12004010500,RIO BRANCO,1200401000,RIO BRANCO (todos os setores),1,0,224,779,3.48,2.75,1052.54,1215841.25,1167.18,1214454.93,573.44,803547.1,1028.73,973631.47
120040105000094,1,Região Norte,12,Acre,1202,Vale do Acre,12004,Rio Branco,00,Municípios não pertencentes a estrutura de RM,1200401,RIO BRANCO,120040105,RIO BRANCO,12004010500,RIO BRANCO,1200401000,RIO BRANCO (todos os setores),1,0,180,618,3.43,2.89,959.71,875457.63,1040.65,864998.67,569.22,572319.31,910.74,604764.83
